Data da série;DóLAR COMERCIAL ATUALIZADO àS 16H30
07/12/2021;5,618
06/12/2021;5,686
03/12/2021;5,677
02/12/2021;5,652
01/12/2021;5,665
30/11/2021;5,647
29/11/2021;5,615
26/11/2021;5,6
25/11/2021;5,563
24/11/2021;5,593
23/11/2021;5,608
22/11/2021;5,59
19/11/2021;5,604
18/11/2021;5,569
17/11/2021;5,526
16/11/2021;5,492
12/11/2021;5,455
11/11/2021;5,398
10/11/2021;5,495
09/11/2021;5,483
08/11/2021;5,549
05/11/2021;5,51
04/11/2021;5,615
03/11/2021;5,595
01/11/2021;5,671
29/10/2021;5,648
28/10/2021;5,628
27/10/2021;5,57
26/10/2021;5,567
25/10/2021;5,546
22/10/2021;5,64
21/10/2021;5,654
20/10/2021;5,547
19/10/2021;5,587
18/10/2021;5,514
15/10/2021;5,46
14/10/2021;5,52
13/10/2021;5,511
11/10/2021;5,532
08/10/2021;5,51
07/10/2021;5,503
06/10/2021;5,488
05/10/2021;5,469
04/10/2021;5,452
01/10/2021;5,363
30/09/2021;5,437
29/09/2021;5,426
28/09/2021;5,43
27/09/2021;5,38
24/09/2021;5,346
23/09/2021;5,308
22/09/2021;5,301
21/09/2021;5,282
20/09/2021;5,351
17/09/2021;5,283
16/09/2021;5,275
15/09/2021;5,242
14/09/2021;5,261
13/09/2021;5,231
10/09/2021;5,266
09/09/2021;5,307
08/09/2021;5,313
06/09/2021;5,175
03/09/2021;5,184
02/09/2021;5,185
01/09/2021;5,174
31/08/2021;5,175
30/08/2021;5,187
27/08/2021;5,196
26/08/2021;5,25
25/08/2021;5,21
24/08/2021;5,259
23/08/2021;5,372
20/08/2021;5,378
19/08/2021;5,416
18/08/2021;5,36
17/08/2021;5,268
16/08/2021;5,286
13/08/2021;5,243
12/08/2021;5,254
11/08/2021;5,228
10/08/2021;5,198
09/08/2021;5,238
06/08/2021;5,241
05/08/2021;5,203
04/08/2021;5,189
03/08/2021;5,183
02/08/2021;5,163
30/07/2021;5,197
29/07/2021;5,077
28/07/2021;5,114
27/07/2021;5,178
26/07/2021;5,175
23/07/2021;5,217
22/07/2021;5,209
21/07/2021;5,183
20/07/2021;5,219
19/07/2021;5,256
16/07/2021;5,12
15/07/2021;5,125
14/07/2021;5,072
13/07/2021;5,171
12/07/2021;5,17
09/07/2021;5,239
08/07/2021;5,254
07/07/2021;5,234
06/07/2021;5,2
05/07/2021;5,083
02/07/2021;5,048
01/07/2021;5,048
30/06/2021;4,973
29/06/2021;4,938
28/06/2021;4,926
25/06/2021;4,952
24/06/2021;4,905
23/06/2021;4,965
22/06/2021;4,964
21/06/2021;5,022
18/06/2021;5,07
17/06/2021;5,024
16/06/2021;5,045
15/06/2021;5,043
14/06/2021;5,072
11/06/2021;5,12
10/06/2021;5,064
09/06/2021;5,07
08/06/2021;5,038
07/06/2021;5,037
04/06/2021;5,035
02/06/2021;5,092
01/06/2021;5,156
31/05/2021;5,225
28/05/2021;5,218
27/05/2021;5,253
26/05/2021;5,309
25/05/2021;5,337
24/05/2021;5,322
21/05/2021;5,348
20/05/2021;5,273
19/05/2021;5,315
18/05/2021;5,246
17/05/2021;5,266
14/05/2021;5,27
13/05/2021;5,299
12/05/2021;5,296
11/05/2021;5,224
10/05/2021;5,231
07/05/2021;5,222
06/05/2021;5,281
05/05/2021;5,366
04/05/2021;5,433
03/05/2021;5,422
30/04/2021;5,434
29/04/2021;5,354
28/04/2021;5,364
27/04/2021;5,465
26/04/2021;5,458
23/04/2021;5,495
22/04/2021;5,462
20/04/2021;5,557
19/04/2021;5,562
16/04/2021;5,586
15/04/2021;5,624
14/04/2021;5,674
13/04/2021;5,701
12/04/2021;5,725
09/04/2021;5,678
08/04/2021;5,573
07/04/2021;5,649
06/04/2021;5,598
05/04/2021;5,672
01/04/2021;5,706
31/03/2021;5,624
30/03/2021;5,747
29/03/2021;5,767
26/03/2021;5,746
25/03/2021;5,667
24/03/2021;5,613
23/03/2021;5,514
22/03/2021;5,513
19/03/2021;5,488
18/03/2021;5,559
17/03/2021;5,583
16/03/2021;5,611
15/03/2021;5,645
12/03/2021;5,564
11/03/2021;5,536
10/03/2021;5,656
09/03/2021;5,789
08/03/2021;5,769
05/03/2021;5,694
04/03/2021;5,663
03/03/2021;5,752
02/03/2021;5,665
01/03/2021;5,599
26/02/2021;5,581
25/02/2021;5,506
24/02/2021;5,433
23/02/2021;5,452
22/02/2021;5,442
19/02/2021;5,407
18/02/2021;5,44
17/02/2021;5,42
12/02/2021;5,378
11/02/2021;5,392
10/02/2021;5,379
09/02/2021;5,382
08/02/2021;5,372
05/02/2021;5,386
04/02/2021;5,454
03/02/2021;5,362
02/02/2021;5,358
01/02/2021;5,451
29/01/2021;5,483
28/01/2021;5,436
27/01/2021;5,397
26/01/2021;5,328
25/01/2021;5,508
22/01/2021;5,472
21/01/2021;5,356
20/01/2021;5,319
19/01/2021;5,35
18/01/2021;5,292
15/01/2021;5,286
14/01/2021;5,203
13/01/2021;5,3
12/01/2021;5,333
11/01/2021;5,491
08/01/2021;5,416
07/01/2021;5,387
06/01/2021;5,283
05/01/2021;5,263
04/01/2021;5,261
